Game;Players;Time;Complexity;Played;Mode;Picture;Genre;Favoritos
Loony Quest;2,3,4,5;Average;Super Casual;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/QsnjLdVxcBZh6dBm65c0b3VLyng=/fit-in/900x600/filters:no_upscale()/pic3043308.jpg;;
Lords of Hellas;3,4;;;No;Competitive;https://cf.geekdo-images.com/imagepage/img/OHZZqtFBHr_6pDwmQfb1gLAdQcE=/fit-in/900x600/filters:no_upscale()/pic3592207.jpg;;
Lords of Waterdeep;3,4;Long;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/3pM32ohm5NueAp-8j7MqQ7SBYME=/fit-in/900x600/filters:no_upscale()/pic1116080.jpg;;
Lords of Xidit;4,5;;;No;Competitive;https://cf.geekdo-images.com/imagepage/img/hEpBw7dIWWHLUh7WNjrgOUsmG4Y=/fit-in/900x600/filters:no_upscale()/pic2074460.jpg;;
Lorenzo il Magnifico;3,4;Long;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/1i84sMqH3KPDwLoQZwME1EHKrr8=/fit-in/900x600/filters:no_upscale()/pic3175535.jpg;;
Lost Cities;2;Quick;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/kNOK3IkwYIeoOQAeOMhOH9U7z88=/fit-in/900x600/filters:no_upscale()/pic2606107.jpg;;
Love Letter;3,4;Filler;Super Casual;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/hOPZoId2WWSL0V21868AyN6nhQs=/fit-in/900x600/filters:no_upscale()/pic1401448.jpg;;
Luna;2,3,4;Average;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/e9I_ticdrmUO14Vkmb7-vHQDbSM=/fit-in/900x600/filters:no_upscale()/pic2538939.png;;
Lunarchitects;2,3,4;Average;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/NPqn2JB18yDh1olvBRYDtCaIops=/fit-in/900x600/filters:no_upscale()/pic2748912.jpg;;
Machi Koro;3,4;Short;;Yes;Competitive;https://cf.geekdo-images.com/imagepage/img/6FHXXcrwrt00-h1rwwVF29tFDKo=/fit-in/900x600/filters:no_upscale()/pic1992476.jpg;;
